iter	Passed	Remaining
0	120	120569
1	194	97220
2	268	89383
3	341	84985
4	410	81686
5	479	79465
6	547	77640
7	617	76531
8	708	78057
9	782	77422
10	853	76756
11	922	75946
12	989	75141
13	1060	74664
14	1128	74132
15	1198	73720
16	1268	73350
17	1337	72973
18	1404	72535
19	1476	72360
20	1547	72138
21	1618	71959
22	1688	71735
23	1758	71510
24	1826	71239
25	1893	70936
26	1962	70740
27	2033	70599
28	2099	70309
29	2169	70156
30	2240	70048
31	2308	69837
32	2378	69691
33	2447	69527
34	2518	69424
35	2585	69244
36	2655	69102
37	2725	68988
38	2796	68907
39	2867	68813
40	2937	68702
41	3006	68580
42	3077	68491
43	3144	68327
44	3214	68217
45	3283	68101
46	3354	68011
47	3423	67900
48	3491	67768
49	3565	67735
50	3636	67668
51	3703	67521
52	3798	67865
53	3869	67787
54	3938	67675
55	4007	67552
56	4076	67434
57	4147	67364
58	4217	67265
59	4286	67150
60	4356	67057
61	4424	66940
62	4494	66842
63	4562	66730
64	4633	66648
65	4702	66550
66	4770	66433
67	4838	66316
68	4908	66224
69	4974	66092
70	5046	66029
71	5118	65968
72	5186	65863
73	5254	65756
74	5324	65671
75	5392	65563
76	5462	65474
77	5532	65396
78	5600	65290
79	5670	65206
80	5739	65122
81	5807	65012
82	5876	64922
83	5946	64847
84	6016	64760
85	6084	64661
86	6153	64578
87	6225	64517
88	6295	64437
89	6364	64347
90	6436	64290
91	6505	64202
92	6575	64131
93	6644	64037
94	6715	63974
95	6783	63877
96	6855	63823
97	6925	63740
98	6995	63666
99	7066	63596
100	7134	63508
101	7204	63428
102	7272	63336
103	7341	63253
104	7410	63168
105	7481	63094
106	7550	63011
107	7620	62942
108	7689	62858
109	7759	62779
110	7829	62702
111	7899	62627
112	7967	62539
113	8037	62464
114	8105	62374
115	8173	62285
116	8239	62181
117	8313	62140
118	8382	62058
119	8450	61971
120	8521	61904
121	8590	61823
122	8657	61728
123	8728	61660
124	8797	61585
125	8867	61506
126	8934	61415
127	9006	61355
128	9080	61307
129	9150	61234
130	9220	61163
131	9291	61098
132	9360	61020
133	9431	60953
134	9500	60871
135	9566	60777
136	9637	60706
137	9705	60626
138	9773	60542
139	9841	60452
140	9909	60369
141	9977	60284
142	10047	60212
143	10118	60146
144	10188	60079
145	10257	59996
146	10327	59928
147	10398	59861
148	10470	59799
149	10540	59728
150	10609	59652
151	10681	59590
152	10752	59523
153	10819	59434
154	10890	59369
155	10979	59403
156	11053	59352
157	11125	59288
158	11194	59212
159	11263	59133
160	11333	59061
161	11405	58999
162	11474	58920
163	11543	58843
164	11612	58765
165	11682	58696
166	11754	58631
167	11821	58546
168	11890	58467
169	11962	58407
170	12029	58317
171	12099	58248
172	12168	58167
173	12236	58087
174	12304	58007
175	12372	57927
176	12443	57856
177	12513	57785
178	12583	57716
179	12651	57634
180	12720	57558
181	12789	57484
182	12861	57421
183	12931	57348
184	13001	57276
185	13071	57207
186	13141	57133
187	13211	57063
188	13280	56986
189	13350	56915
190	13420	56841
191	13491	56774
192	13559	56697
193	13628	56622
194	13698	56551
195	13769	56481
196	13834	56392
197	13903	56317
198	13974	56248
199	14042	56171
200	14112	56097
201	14181	56023
202	14254	55964
203	14325	55898
204	14394	55821
205	14464	55751
206	14534	55680
207	14603	55605
208	14671	55525
209	14740	55451
210	14809	55377
211	14878	55301
212	14946	55225
213	15017	55156
214	15086	55081
215	15155	55010
216	15226	54940
217	15296	54869
218	15366	54798
219	15434	54720
220	15503	54646
221	15571	54569
222	15640	54495
223	15711	54430
224	15782	54363
225	15851	54287
226	15921	54215
227	15990	54144
228	16060	54071
229	16130	54003
230	16199	53927
231	16267	53852
232	16337	53781
233	16406	53707
234	16479	53644
235	16552	53584
236	16623	53517
237	16695	53455
238	16769	53395
239	16843	53336
240	16916	53275
241	16991	53222
242	17062	53154
243	17135	53092
244	17206	53023
245	17280	52964
246	17349	52892
247	17424	52836
248	17499	52779
249	17570	52710
250	17639	52638
251	17713	52579
252	17783	52506
253	17857	52447
254	17929	52381
255	18004	52325
256	18074	52252
257	18143	52178
258	18212	52106
259	18282	52035
260	18354	51968
261	18447	51962
262	18530	51926
263	18611	51887
264	18687	51832
265	18760	51766
266	18834	51708
267	18915	51666
268	18990	51606
269	19062	51538
270	19135	51475
271	19206	51406
272	19279	51341
273	19352	51276
274	19427	51219
275	19499	51149
276	19577	51099
277	19652	51040
278	19728	50981
279	19797	50908
280	19877	50860
281	19954	50805
282	20026	50737
283	20099	50673
284	20176	50618
285	20248	50551
286	20319	50480
287	20392	50414
288	20464	50346
289	20539	50286
290	20614	50225
291	20688	50162
292	20759	50090
293	20831	50022
294	20902	49953
295	20973	49883
296	21046	49817
297	21119	49750
298	21191	49682
299	21261	49610
300	21333	49542
301	21404	49471
302	21473	49396
303	21544	49326
304	21616	49256
305	21690	49192
306	21764	49129
307	21836	49060
308	21905	48987
309	21978	48919
310	22049	48849
311	22122	48783
312	22194	48715
313	22268	48650
314	22339	48579
315	22413	48514
316	22485	48445
317	22557	48378
318	22629	48308
319	22704	48247
320	22776	48177
321	22847	48107
322	22919	48039
323	22993	47973
324	23066	47906
325	23140	47843
326	23212	47773
327	23285	47706
328	23356	47636
329	23428	47566
330	23499	47495
331	23571	47426
332	23642	47356
333	23712	47283
334	23786	47218
335	23856	47144
336	23929	47077
337	24001	47008
338	24072	46937
339	24144	46869
340	24213	46793
341	24285	46724
342	24355	46652
343	24427	46583
